,data_types,hubmap_id,origin_samples_unique_mapped_organs,uuid
0,['salmon_rnaseq_snareseq'],HBM244.WRXM.247,['Kidney (Right)'],5d59784e70a74d4f44c729afff22668c
1,['salmon_rnaseq_snareseq'],HBM436.XFFT.833,['Kidney (Right)'],a95f2c79bb637141f7e6874eddc8e274
2,['salmon_rnaseq_snareseq'],HBM688.RPFC.258,['Kidney (Right)'],0804a7a9e430e6adfbc56f339d787211
3,['salmon_sn_rnaseq_10x'],HBM593.JLCT.283,['Small Intestine'],3de525fe3e5718f297e8d62e037a042d
4,['salmon_sn_rnaseq_10x'],HBM344.QRJX.878,['Kidney (Left)'],853ab5348f619043ab2f997ac8ae14f0
5,['salmon_sn_rnaseq_10x'],HBM847.HMFW.947,['Large Intestine'],71719ade6924098f772d4063541a50f3
6,['salmon_rnaseq_sciseq'],HBM888.CHTX.783,['Heart'],9e91d1be412466551533cce5594450cb
7,['salmon_sn_rnaseq_10x'],HBM485.VKSZ.779,['Kidney (Right)'],fb94e862fe33f171de6e07d2d207d0de
8,['salmon_sn_rnaseq_10x'],HBM988.XDFD.773,['Kidney (Right)'],aaedb5272190e61bf557d3b0a1bc591f
9,['salmon_sn_rnaseq_10x'],HBM268.RGJT.587,['Kidney (Left)'],c05a38c5210b870281b5aea01e290339
10,['salmon_sn_rnaseq_10x'],HBM465.STNV.844,['Kidney (Left)'],6cd63d0ee2c67c3be41e4be1522d9c07
11,['salmon_rnaseq_snareseq'],HBM545.NTKZ.536,['Kidney (Left)'],d1e9f509063984326570cf603c5654f2
12,['salmon_sn_rnaseq_10x'],HBM578.BDBP.672,['Lung (Right)'],237b8f24c23821690519af862cf25a9f
13,['salmon_rnaseq_snareseq'],HBM948.GXMD.986,['Lung (Right)'],dd648e4648238b25a7d1062669ea89af
14,['salmon_rnaseq_snareseq'],HBM658.FRMV.224,['Lung (Right)'],23a62a81daa7b6871b4422826d58ce1b
15,['salmon_rnaseq_snareseq'],HBM475.FWNZ.942,['Lung (Right)'],f7a8e78dea9cf70735059e8b4a179701
16,['salmon_sn_rnaseq_10x'],HBM673.GSSW.364,['Lung (Right)'],3febd011f193673c6f87a60718dd8f96
17,['salmon_sn_rnaseq_10x'],HBM749.MTJC.865,['Lung (Right)'],5d111a1db2f18d507d23e79b993e1e4a
18,['salmon_sn_rnaseq_10x'],HBM223.JQLM.452,['Lung (Right)'],faa1acc13943ee9d365b6cc6a3ea889f
19,['salmon_rnaseq_snareseq'],HBM395.WSDD.355,['Lung (Right)'],293d9f9a1a076c616ed91d7251ec831c
20,['salmon_rnaseq_10x'],HBM947.MQZT.787,['Liver'],f7afbf7de3dc1367582eebb27ae130b7
21,['salmon_sn_rnaseq_10x'],HBM388.SGMJ.342,['Kidney (Left)'],5bc39f0a0deb7632f5cb9650d5e7067c
22,['salmon_sn_rnaseq_10x'],HBM425.GDJT.648,['Kidney (Left)'],37988db44acc8d0780e4e31cd057e789
